PT 2,PT 1,PT 3
9.8,9.8,10.37180204
17.7,17.7,18.78265407
23.2,23.2,24.62578616
43.0,43.0,45.6364755
48.4,48.4,51.4374468
76.2,76.2,80.94558875
86.3,86.3,91.62201275
95.0,95.0,100.8507418
102.4,102.4,108.7461762
108.9,108.9,115.6714111
114.7,114.7,150.9176347
121.4,121.4,154.451919
129.4,129.4,194.6268496
135.3,135.3,253.211
140.0,140.0,254.883
203.8,203.8,334.339
242.6,242.6,337.058
244.2,244.2,339.997
260.9,260.9,430.865
270.0,270.0,435.509
379.9,379.9,437.118
381.0,381.0,502.126
382.6,382.6,503.875
383.3,383.3,505.889
383.6,383.6,574.888
421.6,421.6,576.148
422.0,422.0,576.234
422.4,422.4,716.337
422.9,422.9,715.443
423.4,423.4,715.152
484.8,484.8,804.737
485.1,485.1,802.9121015
485.5,485.5,801.5781842
486.0,486.0,800.5563555
486.6,486.6,799.7000373
487.2,487.2,797.5145328
487.9,487.9,795.0379404
488.5,488.5,792.7381427
488.4,488.4,790.5692663
488.3,488.3,788.5220057
600.6,600.6,785.8384743
599.3,599.3,783.0013119
598.5,598.5,780.1908184
597.8,597.8,777.4817486
597.1,597.1,774.8412719
596.0,596.0,772.2600327
595.1,595.1,769.7516169
594.3,594.3,767.2867327
593.4,593.4,764.8955128
592.6,592.6,762.8438434
673.2,673.2,761.0036192
671.2,671.2,759.1288782
669.5,669.5,757.1867101
668.1,668.1,754.5590247
666.9,666.9,751.9729323
665.5,665.5,749.4106893
664.3,664.3,746.8912166
663.2,663.2,744.406624
662.1,662.1,741.9457534
660.8,660.8,739.5209087
739.6,739.6,737.1252718
736.3,736.3,734.7462985
744.0,744.0,732.3784425
741.3,741.3,729.977753
738.7,738.7,727.6378644
736.0,736.0,725.3355003
733.3,733.3,723.0452947
730.7,730.7,720.7843389
728.1,728.1,718.5346865
725.5,725.5,716.3027691
722.9,722.9,714.1111269
720.3,720.3,711.9311643
717.7,717.7,709.7761173
715.1,715.1,707.6238991
712.5,712.5,705.4624478
710.0,710.0,703.3155663
707.5,707.5,701.1603452
704.9,704.9,698.9682472
702.4,702.4,696.7599859
699.9,699.9,694.5697911
697.4,697.4,692.4173124
694.9,694.9,690.3349702
692.5,692.5,688.2510059
690.0,690.0,686.1610335
687.5,687.5,684.0950027
685.1,685.1,682.0470169
682.7,682.7,680.0046875
680.2,680.2,677.9938321
677.8,677.8,675.9793168
675.4,675.4,673.95355
673.0,673.0,671.9347191
670.7,670.7,669.9219356
668.3,668.3,667.9151814
665.9,665.9,665.9144385
663.6,663.6,663.9196888
661.2,661.2,661.9309144
658.9,658.9,659.9480974
656.6,656.6,657.9712199
654.3,654.3,656.0002641
652.0,652.0,654.0352124
649.7,649.7,652.076047
647.4,647.4,650.1227502
645.1,645.1,648.1753046
642.9,642.9,646.2336926
640.6,640.6,644.2978967
638.4,638.4,642.3678994
636.1,636.1,640.4436835
633.9,633.9,638.5252315
631.7,631.7,636.6125263
629.5,629.5,634.7055507
627.3,627.3,632.8042873
625.1,625.1,630.9087192
622.9,622.9,629.0188293
620.8,620.8,627.1346006
618.6,618.6,625.2560161
616.4,616.4,623.3830589
614.3,614.3,621.5157121
612.2,612.2,619.653959
610.0,610.0,617.7977828
607.9,607.9,615.9471668
605.8,605.8,614.1020942
603.7,603.7,612.2625487
601.6,601.6,610.4285134
599.5,599.5,608.5999721
597.5,597.5,606.7769081
595.4,595.4,604.9593052
593.4,593.4,603.1471469
591.3,591.3,601.3404169
589.3,589.3,599.5390989
587.2,587.2,597.7431769
585.2,585.2,595.9526345
583.2,583.2,594.1674557
581.2,581.2,592.3876244
579.2,579.2,590.6131246
577.2,577.2,588.8439404
575.2,575.2,587.0800557
573.3,573.3,585.3214547
571.3,571.3,583.5681217
569.3,569.3,581.8200408
567.4,567.4,580.0771962
565.5,565.5,578.3395724
563.5,563.5,576.6071536
561.6,561.6,574.8799242
559.7,559.7,573.1578689
557.8,557.8,571.4409719
555.9,555.9,569.7292179
554.0,554.0,568.0225914
552.1,552.1,566.3210772
550.2,550.2,564.6246599
548.4,548.4,562.9333242
546.5,546.5,561.2470549
544.6,544.6,559.5658368
542.8,542.8,557.8896548
541.0,541.0,556.2184938
539.1,539.1,554.5523388
537.3,537.3,552.8911748
535.5,535.5,551.2349868
533.7,533.7,549.5837599
531.9,531.9,547.9374793
530.1,530.1,546.2961301
528.3,528.3,544.6596976
526.5,526.5,543.028167
524.7,524.7,541.4015237
523.0,523.0,539.779753
521.2,521.2,538.1628404
519.5,519.5,536.5507711
517.7,517.7,534.9435309
516.0,516.0,533.3411051
514.2,514.2,531.7434795
512.5,512.5,530.1506395
510.8,510.8,528.5625709
509.1,509.1,526.9792593
507.4,507.4,525.4006906
505.7,505.7,523.8268504
504.0,504.0,522.2577247
502.3,502.3,520.6932994
500.6,500.6,519.1335603
499.0,499.0,517.5784933
497.3,497.3,516.0280846
495.7,495.7,514.4823202
494.0,494.0,512.9411861
492.4,492.4,511.4046685
490.7,490.7,509.8727535
489.1,489.1,508.3454273
487.5,487.5,506.8226763
485.9,485.9,505.3044867
484.2,484.2,503.7908449
482.6,482.6,502.2817371
481.0,481.0,500.7771499
479.5,479.5,499.2770697
477.9,477.9,497.781483
476.3,476.3,496.2903763
474.7,474.7,494.8037363
473.1,473.1,493.3215495
471.6,471.6,491.8438026
470.0,470.0,490.3704822
468.5,468.5,488.9015752
466.9,466.9,487.4370684
465.4,465.4,485.9769484
463.9,463.9,484.5212023
462.4,462.4,483.0698169
460.8,460.8,481.6227791
459.3,459.3,480.1800759
457.8,457.8,478.7416943
456.3,456.3,477.3076214
454.8,454.8,475.8778443
453.3,453.3,474.45235
451.9,451.9,473.0311259
450.4,450.4,471.614159
448.9,448.9,470.2014367
447.4,447.4,468.7929462
446.0,446.0,467.3886748
444.5,444.5,465.9886099
443.1,443.1,464.5927389
441.6,441.6,463.2010493
440.2,440.2,461.8135285
438.8,438.8,460.430164
437.4,437.4,459.0509434
435.9,435.9,457.1376969
434.5,434.5,455.6540104
433.1,433.1,454.1760986
431.7,431.7,452.7039355
430.3,430.3,451.2374948
428.9,428.9,449.7767508
427.5,427.5,448.3216775
426.2,426.2,446.8722494
424.8,424.8,445.4284408
423.4,423.4,443.9902264
422.0,422.0,442.557581
420.7,420.7,441.1304792
419.3,419.3,439.7088963
418.0,418.0,438.2928072
416.6,416.6,436.8821873
415.3,415.3,435.4770118
414.0,414.0,434.0772563
412.6,412.6,432.6828965
411.3,411.3,431.293908
410.0,410.0,429.9102668
408.7,408.7,428.5319488
407.4,407.4,427.1589302
406.1,406.1,425.7911871
404.8,404.8,424.4286961
403.5,403.5,423.0714335
402.2,402.2,421.719376
400.9,400.9,420.3725003
399.6,399.6,419.0307832
398.3,398.3,417.6942017
397.1,397.1,416.3627329
395.8,395.8,415.036354
394.6,394.6,413.7150423
393.3,393.3,412.3987753
392.0,392.0,411.0875304
390.8,390.8,409.7812853
389.6,389.6,408.4800178
388.3,388.3,407.1837059
387.1,387.1,405.8923274
385.9,385.9,404.6058605
384.7,384.7,403.3242834
383.4,383.4,402.0475745
382.2,382.2,400.7757121
381.0,381.0,399.5086749
379.8,379.8,398.2464415
378.6,378.6,396.9889906
377.4,377.4,395.7363011
376.2,376.2,394.4883521
375.0,375.0,393.2451225
373.9,373.9,392.0065917
372.7,372.7,390.7727388
371.5,371.5,389.5435433
370.3,370.3,388.3189846
369.2,369.2,387.0990425
368.0,368.0,385.8836965
366.9,366.9,384.6729266
365.7,365.7,383.4667125
364.6,364.6,382.2650344
363.4,363.4,381.0678723
362.3,362.3,379.8752065
361.2,361.2,378.6870172
360.0,360.0,377.503285
358.9,358.9,376.3239901
357.8,357.8,375.1491134
356.7,356.7,373.9786355
355.6,355.6,372.8125371
354.5,354.5,371.6507992
353.4,353.4,370.4934028
352.3,352.3,369.340329
351.2,351.2,368.1915588
350.1,350.1,367.0470737
349.0,349.0,365.9068549
347.9,347.9,364.770884
346.8,346.8,363.6391424
345.8,345.8,362.5116118
344.7,344.7,361.3882739
343.6,343.6,360.2691107
342.5,342.5,359.1541039
341.5,341.5,358.0432355
340.4,340.4,356.9364878
339.4,339.4,355.8338428
338.3,338.3,354.7352828
337.3,337.3,353.6407901
336.3,336.3,352.5503473
335.2,335.2,351.4639368
334.2,334.2,350.3815413
333.2,333.2,349.3031434
332.1,332.1,348.228726
331.1,331.1,347.1582718
330.1,330.1,346.091764
329.1,329.1,345.0291854
328.1,328.1,343.9705192
327.1,327.1,342.9157487
326.1,326.1,341.8648571
325.1,325.1,340.8178277
324.1,324.1,339.7746441
323.1,323.1,338.7352897
322.1,322.1,337.6997482
321.1,321.1,336.6680033
320.1,320.1,335.6400387
319.2,319.2,334.6158383
318.2,318.2,333.595386
317.2,317.2,332.5786658
316.3,316.3,331.5656618
315.3,315.3,330.5563582
314.3,314.3,329.5507392
313.4,313.4,328.5487891
312.4,312.4,327.5504923
311.5,311.5,326.5558333
310.5,310.5,325.5647966
309.6,309.6,324.5773669
308.7,308.7,323.5935288
307.7,307.7,322.6132671
306.8,306.8,321.6365667
305.9,305.9,320.6634124
304.9,304.9,319.6937893
304.0,304.0,318.7276824
303.1,303.1,317.7650769
302.2,302.2,316.8059579
301.3,301.3,315.8503107
300.4,300.4,314.8981207
299.5,299.5,313.9493733
298.6,298.6,313.0040539
297.7,297.7,312.0621482
296.8,296.8,311.1236418
295.9,295.9,310.1885203
295.0,295.0,309.2567696
294.1,294.1,308.3283754
293.2,293.2,307.4033236
292.3,292.3,306.4816003
291.5,291.5,305.5631915
290.6,290.6,304.6480832
289.7,289.7,303.7362617
288.9,288.9,302.8277131
288.0,288.0,301.9224238
287.1,287.1,301.0203802
286.3,286.3,300.1215686
285.4,285.4,299.2259756
284.6,284.6,298.3335878
283.7,283.7,297.4443917
282.9,282.9,296.558374
282.0,282.0,295.6755216
281.2,281.2,294.7958211
280.4,280.4,293.9192596
279.5,279.5,293.0458239
278.7,278.7,292.1755011
277.9,277.9,291.309801
277.1,277.1,290.4481594
276.2,276.2,289.5905504
275.4,275.4,288.7369481
274.6,274.6,287.8873269
273.8,273.8,287.0416615
273.0,273.0,286.1999267
272.2,272.2,285.3620975
271.4,271.4,284.5281492
270.6,270.6,283.6980572
269.8,269.8,282.871797
269.1,269.1,282.0493446
268.3,268.3,281.230676
267.5,267.5,280.4157673
266.7,266.7,279.604595
266.0,266.0,278.7971357
265.2,265.2,277.993366
264.4,264.4,277.1932631
263.7,263.7,276.3968039
262.9,262.9,275.6039659
262.2,262.2,274.8147265
261.4,261.4,274.0290634
260.7,260.7,273.2469544
259.9,259.9,272.4683777
259.2,259.2,271.6933113
258.4,258.4,270.9217336
257.7,257.7,270.1536233
257.0,257.0,269.3889589
256.2,256.2,268.6277193
255.5,255.5,267.8698837
254.8,254.8,267.1154311
